Songid,Genre,Song,Artist,SPB,SPN,SPH,SPA,DPN,DPH,DPA,Style,In26
299,FREEFORM,tripping contact,kors k vs. teranoid,-,6,9,11,7,10,-,13,1
300,GABBA,tripping contact (teranoid&MC Natsack Remix),kors k vs. teranoid,-,6,9,11,7,10,12,13,1
301,PSYCHEDELIC TRANCE,TYPE MARS (G-Style Mix),L.E.D.,-,5,9,11,6,10,,13,1
302,ELECTRO LOUNGE,Ubiquitous Fantastic Ride,ELEKTEL,-,4,7,8,3,7,10,13,1
303,DANCE SPEED,waxing and wanding,青龍,-,7,10,11,7,10,12,13,1
304,LOVERS EUROBEAT,Why did you go away,jun with TAHIRIH,-,5,8,10,5,9,11,13,1
305,CUTE POPS,wish,DJ Yoshitaka feat.杉村ことみ,-,4,6,7,4,6,8,13,1
306,EUROBEAT,WISH (EUROBEAT MIX),DJ YOSHITAKA feat.杉村ことみ,-,5,8,9,6,8,10,13,1
307,FUNK'N JAZZ HOUSE,with you...,Sota Fujimori,-,4,6,9,4,7,-,13,1
308,CYBER OPUS,Zenius -I- vanisher,Tatsh,-,5,7,10,5,8,11,13,1
309,和式電子音楽,カゴノトリ～弐式～,橙色特別室,-,6,9,11,6,9,12,13,1
310,POPROCK,タシカナモノ,星野奏子 with the BAND,-,5,7,9,5,7,11,13,1
311,CONTEMPORARY,嘆きの樹,金獅子,-,8,11,12,7,11,12,13,1
312,DRUM'N ROCK,罠,good-cool,-,2,8,10,4,7,-,13,1
313,ASIAN MIXTURE,華蝶風雪,白虎,-,6,10,11,7,10,12,13,1
314,LOVELY TRANS POP,虹色,DJ YOSHITAKA feat. G.S.C license,-,5,8,9,5,7,8,13,1
315,HYPER J-POP ZERO,零 - ZERO -,TЁЯRA,1,6,8,9,6,8,10,14,1
316,NOSTALISH REQUIEM,CaptivAte～裁き～,DJ YOSHITAKA feat.A/I,3,5,8,9,5,9,11,14,1
317,FLOW POP,Air Bell,D-crew,-,5,6,8,5,7,8,14,1
318,PSYCHEDELIC SYNTH TRANCE,ANDROMEDA II,Sota Fujimori,-,5,9,10,5,10,-,14,1
319,EPIC POETRY,"Blind Justice ～Torn souls, Hurt Faiths～",Zektbach,-,6,8,11,7,8,10,14,1
320,HAPPY,Candy Galy,Risk Junk-G,-,7,10,12,6,8,12,14,1
321,NOSTALISH REQUIEM,CaptivAte～誓い～,A/I,-,6,9,10,6,9,-,14,1
322,DRAMATIC EURO TRANCE,CROSSROAD,jun with TAHIRIH,-,5,8,10,6,8,10,14,1
323,CYBORG TRANCE,Cyber Force,Sota Fujimori feat.cyborg AKEMI,-,5,9,10,6,8,8,14,1
324,SuperNOVA BEAT,Fascination MAXX,100-200-400,-,8,11,12,9,11,12,14,1
325,BUCHIAGE TRANCE,FIRE FIRE,StripE,-,7,10,12,6,9,11,14,1
326,ROCK,four-leaf,Sis Bond Chit,-,4,6,8,4,8,-,14,1
327,RECKLESS RAVE,GOLD RUSH,DJ YOSHITAKA-G feat. Michael a la mode,-,8,9,11,7,8,10,14,1
328,ELECTRONICA,GRID KNIGHT,SAW WAVE SQUAD,-,6,8,9,7,8,10,14,1
329,FILTER HOUSE,heaven above,kors k,-,5,7,9,5,7,9,14,1
330,HIGH SPEED LOVE SONG,High School Love,DJ YOSHITAKA feat.DWP,-,4,6,9,5,7,9,14,1
331,MILLENNIUM TRANCE,INORI,dj TAKA feat.HAL,-,6,10,11,6,9,12,14,1
332,FREEFORM HARDCORE,KAMAITACHI,DJ TECHNORCH fw.GUHROOVY,-,6,9,11,8,10,12,14,1
333,NU-SKOOL BREAKS,LASER CRUSTER,L.E.D.,-,7,11,12,7,11,-,14,1
334,POPS,Love Again...,Tatsh feat. Junko Hirata,-,3,4,5,4,5,-,14,1
335,HOUSE,Make Me Your Own,good-cool ft. Raj Ramayya,-,5,9,10,4,9,-,14,1
336,OLDSKOOL HARDCORE RAVE,METALLIC MIND,DJ TECHNORCH fw.GUHROOVY,-,4,8,9,5,7,-,14,1
337,DANCE POP,never...,Kanako Hoshino with dj TAKA,-,4,7,8,4,6,-,14,1
338,PIANO CONCERTO,op.31 叙情,akiko,-,4,9,10,5,11,-,14,1
339,DRUM & BASS,PHOTONGENIC,L.E.D. fw.堀澤麻衣子,-,7,10,10,7,9,11,14,1
340,EUROBEAT,Roulette,Y&Co.,-,5,8,10,5,8,10,14,1
341,HANDZ UP,Second Heaven,Ryu☆,-,5,8,11,6,8,11,14,1
342,RAVE,Sense 2007,good-cool,-,9,11,12,9,11,12,14,1
343,ELE POP,smile,miru_maki.gjw,-,8,9,11,7,9,12,14,1
344,TRANCE,snow storm,dj TAKA,-,4,9,10,4,10,12,14,1
345,SCHRANZ,the shadow,kors k,-,6,9,11,5,9,11,14,1
346,POP,The Smile of You,猫叉Master feat.JESSY,-,5,7,8,4,6,7,14,1
347,PSG WORKS,TRANOID,T&S seq. factory,-,5,10,12,6,10,12,14,1
348,DECEPTIVE GABBA,VANESSA,朱雀,-,8,11,12,7,11,12,14,1
349,HIP HOP,Watch out!!,MAD Sequence*,-,4,6,9,4,6,-,14,1
350,J-HOUSE,With your Smile,Shoichiro Hirata plus Junko Hirata,-,4,6,8,4,7,9,14,1
351,RETRO RAVE,X-rated,SADA,-,4,8,10,5,8,10,14,1
352,FUTURE POP,クルクル☆ラブ～Opioid Peptide MIX～,イオンチャンネル,-,5,8,10,5,8,10,14,1
353,TRANCE,シティ・エンジェル,PINK PONG,-,5,7,10,5,7,10,14,1
354,TECHNO,ヨシダさん,AKIRA YAMAOKA,-,5,7,9,5,6,8,14,1
355,EURO TRANCE,リグレット,星野奏子,-,6,8,10,6,8,-,14,1
356,J-POP,星をこの手に,DJ YOSHITAKA feat.星野奏子,-,7,9,10,6,9,-,14,1
357,JAPANESE ALTERATION,花吹雪 ～ IIDX LIMITED ～,S.S.D.FANTASICA feat.ユッコ,-,4,6,8,5,7,8,14,1
358,NU-NRG,電人、暁に斃れる。,L.E.D.-G,-,7,10,12,7,11,12,14,1
359,HYPER JAPANESQUE 2,華爛漫 -Flowers-,TËЯRA,2,5,8,10,7,9,10,15,1
360,LOVELY BUCHIAGE POP,MAX LOVE,DJ YOSHITAKA feat.星野奏子,3,5,8,10,7,9,-,15,1
361,TRIBAL,2 tribe 4 K,Remo-con,-,5,7,9,6,8,10,15,1
362,HARD RENAISSANCE,"Anisakis -somatic mutation type""Forza""-",朱雀,-,5,9,11,6,10,12,15,1
363,CLASSICAL PIANO SOLO,avant-guerre,Osamu Kubota,-,4,7,10,5,9,10,15,1
364,EUROBEAT,Be OK,good-cool ft. Florence,-,5,8,10,6,9,-,15,1
365,TECH-TRONIKA,beatonic nation,Sota Fujimori,-,5,8,9,5,7,10,15,1
366,TRANCE,Blue Rain,dj TAKA Vs. Ryu☆,-,6,8,11,6,8,10,15,1
367,J-R&B,Darling my LUV,DJ Yoshitaka feat.B-Agents,-,4,6,8,5,7,-,15,1
368,HANDZ UP,Dazzlin' Darlin,HHH,-,4,7,10,5,7,11,15,1
369,TECH-BREAKBEATS,Digitank System,DJ Mass MAD Izm*,-,6,9,11,5,8,10,15,1
370,N-BEATS,Do it!! Do it!!,Kraken,-,7,10,11,5,10,11,15,1
371,FRENZY HOUSE,end of world,猫叉Master+,-,6,9,10,5,10,-,15,1
372,PROG,evergreen,kors k,-,5,7,10,5,8,11,15,1
373,JUNGLE,four pieces of heaven,Lion,-,5,10,11,6,10,12,15,1
374,TRANCE,Freeway Shuffle,dj TAKA,-,4,7,10,5,8,9,15,1
375,NU-SKOOL BREAKBEATS HARDCORE,ICARUS,Eagle,-,7,10,12,7,10,12,15,1
376,HAPPY HARDCORE,in the Sky,Ryu☆,-,7,9,11,7,10,11,15,1
377,E-DANCE POP,Kick Out 仮面,"上野圭市(aka. Babyweapon,DJ SWAMI)feat.星野奏子",-,5,7,9,5,7,10,15,1
378,HAPPY HARDCORE,LOVELY STORM,L.E.D.-G,-,6,9,10,7,10,11,15,1
379,PROGRESSIVE HOUSE,madrugada,PINK PONG,-,4,7,9,3,7,10,15,1
380,IRREGULAR HI-BREAK,MENDES,Humanoid,-,6,11,12,6,10,12,15,1
381,HARD HOP,MENTAL MELTDOWN,GUHROOVY fw. DJ TECHNORCH,-,6,9,10,6,9,11,15,1
382,ONLY ONE EURO BEAT,NEW GENERATION -もう、お前しか見えない-,SUPER STAR 満-MITSURU-,-,5,9,10,6,9,11,15,1
383,ENERGETIC TRANCE,Now and Forever,StripE vs MUNETICA feat.ARISA,-,5,8,10,5,9,11,15,1
384,HYMNUS,oratio,蓑舞衆,-,7,10,12,7,9,12,15,1
385,SuperNOVA2 BEAT #1,PARANOiA ～HADES～,αTYPE-300,-,7,11,12,8,11,12,15,1
386,BALLAD,PROMISE FOR LIFE,TЁЯRA WORKS,-,3,7,8,4,6,8,15,1
387,TRI EURO FANTASIA,REMINISCENCE,jun with Alison,-,6,9,10,6,9,11,15,1
388,OUVERTÜRE,Ristaccia,Zektbach,-,6,9,12,5,8,10,15,1
389,HARD HOUSE,"satellite020712 from ""CODED ARMS""",猫叉Master,-,6,9,11,8,10,12,15,1
390,RAVE,satfinal,RAM,-,5,7,9,6,8,10,15,1
391,WORLD/ELECTRONICA,scar in the earth,猫叉Master,-,3,5,8,4,7,9,15,1
392,FREEFORM HARDCORE,SOUND OF GIALLARHORN,L.E.D.-G,-,6,10,11,6,9,10,15,1
393,TECHNOTRONICA,State Of The Art,Sota Fujimori feat. cyborg AKEMI,-,5,8,9,6,8,9,15,1
394,BREAK CORE,STEEL NEEDLE,Scorpion,-,6,10,11,6,10,11,15,1
395,ULTIMATE J-POP,switch,DAISUKE ASAKURA ex.TËЯRA,-,4,9,11,5,9,11,15,1
396,NU STYLE GABBA,THE DEEP STRIKER,L.E.D.-G,-,6,10,11,5,10,11,15,1
397,ETHNOTRONICA,the trigger of innocence,Seiya Murai,-,5,7,9,6,9,10,15,1
398,DANCE SPEED,Time to Air,青龍,-,6,10,11,7,9,11,15,1
399,ULTIMATE CORE,TROOPERS,Des-TRACT,-,6,10,12,6,10,12,15,1
400,PROGRESSIVE BAROQUE,Übertreffen,TAKA respect for J.S.B.,-,6,10,11,7,10,12,15,1
401,PIANO HOUSE,Wanna Party?,RAM,-,4,7,8,3,6,9,15,1
402,80's EURO,エコ爺,Y&Co.,-,4,6,9,4,6,9,15,1
403,EDUCATION,マチ子の唄,AKIRA YAMAOKA,-,4,6,8,4,7,9,15,1
404,FUSION,ミラージュ・レジデンス,Jimmy Weckl,-,5,9,10,6,10,12,15,1
405,POST RENAISSANCE,少年A,Remixed by 少年ラジオ,-,6,10,12,6,10,12,15,1
406,SOLDIER'S BALLAD,走馬灯 -The Last Song-,TAKA,-,3,4,7,3,4,-,15,1
407,NOSTALISH REQUIEM,CaptivAte2～覚醒～,e-lma,1,6,9,11,5,9,11,16,1
408,J-TRANCE,翼,小林ゆう,1,4,7,9,5,8,10,16,1
409,DANCE MUSIC OF SORROW,NΦ CRIME,C×F,2,4,7,9,5,8,9,16,1
410,CANDY RAVE,smooooch ・∀・,kors k,2,4,8,10,5,8,10,16,1
411,ELEMENTAL CHANT,Turii ～Panta rhei～,Zektbach,2,4,9,10,4,8,10,16,1
412,撫子ロック,凛として咲く花の如く,紅色リトマス,3,6,9,10,6,9,10,16,1
413,DANCE SPEED,3y3s,青龍,-,7,10,12,8,10,12,16,1
414,HARD CORE,ALL I NEED YOUR LOVE,GUHROOVY fw.M-Project,-,5,7,9,6,7,9,16,1
415,ONLY ONE EURO BEAT,ALL MY TURN -このターンに、オレの全てを賭ける-,SUPER STAR 満-MITSURU-,-,6,9,11,6,9,11,16,1
416,ARABIC HARDCORE,Arabian Rave Night,dj MAX STEROID,-,6,10,11,6,10,11,16,1
417,RECKLESS RAVE,B4U (BEMANI FOR YOU MIX),Remixed by DJ YOSHITAKA with Michael a la mode,-,6,9,11,7,9,11,16,1
418,HOUSE,Bahram Attack -猫叉Master Remix-,猫叉Master feat.JUNE,-,4,9,10,5,9,11,16,1
419,JUMPSTYLE,BITTER CHOCOLATE STRIKER,L.E.D.-G,-,5,10,12,5,10,11,16,1
420,HAPPY☆JIG,BRIDAL FESTIVAL !!!,S.S.D. feat.ななっち,-,4,7,9,5,8,9,16,1
421,HAPPY HARDCORE,Colorful Cookie,Lucky Vacuum,-,5,10,12,7,10,12,16,1
422,BUCHIAGE TRANCE,Cyber Force -DJ Yoshitaka Remix-,Remixed by DJ YOSHITAKA,-,5,9,10,6,9,10,16,1
423,MEGA MIX,Flash Back 90's,kors k as disconation,-,4,8,10,5,8,10,16,1
424,DREAM TRANCE,Fly Above,Sota Fujimori,-,5,6,8,5,8,9,16,1
425,TRANCE CORE,Go Beyond!!,Ryu☆ Vs. Sota,-,6,10,12,6,10,12,16,1
426,MORNING FULL ON,HYPERION,L.E.D.,-,6,9,11,6,10,11,16,1
427,TECHNO POP,I'm Screaming LOVE,Creative Life,-,4,6,7,5,7,9,16,1
428,MIXTURE,Jack,DesQ,-,5,7,10,5,8,11,16,1
429,NU SKOOL BREAKS,Just a Little Smile,Sota Fujimori,-,4,8,11,5,8,11,16,1
430,ASIAN JANGLE,Kung-fu Empire,飛燕流舞,-,6,10,11,6,10,11,16,1
431,ELECTRO-TECH,Mind Mapping,Ryu☆,-,4,7,9,4,7,8,16,1
432,EUROBEAT,Monkey Dance '09,Y&Co. Feat. DOMINO,-,4,8,10,4,8,11,16,1
433,TECH-BREAKBEATS,naughty girl@Queen's Palace,DJ Mass MAD Izm*,-,5,9,11,5,8,10,16,1
434,ENERGETIC TRANCE,neogenesis,DM Ashura,-,4,6,9,5,7,9,16,1
435,PSY TRANCE(FULL ON),Programmed World,kors k as StripE,-,5,9,11,5,10,11,16,1
436,E-DANCE POP,Punch Love ♥ 仮面,"上野圭市(a.k.a.Baby Weapon,DJ SWAMI) feat.星野奏子",-,5,8,10,6,9,10,16,1
437,BIG BEAT,Queen's Tragedy,猫叉Master+,-,4,8,10,4,8,9,16,1
438,TECH PARA,Secrets,good-cool feat.CHiCO,-,6,9,11,5,9,11,16,1
439,TECHNO,SOLITON BEAM,L.E.D.,-,6,9,10,7,10,12,16,1
440,ONLY ONE EPILOGUE,THANK YOU FOR PLAYING,SUPER STAR 満-MITSURU-,-,5,9,10,5,8,10,16,1
441,PROGESSIVE,V₂,TAKA,-,6,10,11,5,10,11,16,1
442,90's RAVE,Y&Co. is dead or alive,Y&Co.,-,5,9,10,5,10,11,16,1
443,ONLY ONE TECHNO,"You'll say ""Now!""",BLACK STAR 幸広-YUKIHIRO-,-,6,10,11,7,10,11,16,1
444,HOU-ROCK,ハリツヤランデヴー,Des-MASTERS,-,5,8,10,5,8,10,16,1
445,J-DANCE POP,まほろば,HHH+H,-,5,7,9,5,8,11,16,1
446,TRENDY TECHNO,ミッドナイト堕天使,Dr. Honda,-,5,7,9,5,8,9,16,1
447,HARDCORE,不沈艦CANDY,Risk Junk,-,6,9,12,6,9,11,16,1
448,ESOTERIC SPEEDCORE,卑弥呼,朱雀 VS 玄武,-,6,11,12,7,11,12,16,1
449,RAGE AGAINST EMPRESS,天空脳番長危機十六連打,D.J.SETUP,-,5,10,11,5,10,11,16,1
450,ポップス,山岡晃の「クイズ！家事都合！」,AKIRA YAMAOKA feat.喜屋武ちあき,-,4,7,10,5,8,10,16,1
451,IRON CONCERTO,鉄甲乙女 -under the steel-,Seiya Murai,-,4,7,10,5,9,10,16,1
452,ASTRAL CHOIR,Raison d'être～交差する宿命～,Zektbach,1,5,10,11,6,10,12,17,1
453,EMO,Sorrows,Asako Yoshihiro,1,5,8,10,5,8,11,17,1
454,HAPPY HARDCORE,bloomin' feeling,Ryu☆,2,7,9,11,6,10,11,17,1
455,WHITE SEQUENCE,DROP,dj TAKA feat.Kanako Hoshino,2,4,9,11,4,8,11,17,1
456,ACTRESS,Roots of my way!,ナイア,2,4,7,9,5,7,9,17,1
457,TRANCE CORE,Elisha,DJ YOSHITAKA,3,6,10,11,5,9,11,17,1
458,ONLY ONE BALLAD,She is my wife,SUPER STAR 満-MITSURU-,3,5,9,10,5,9,10,17,1
459,AKASHIC RECORDS,Almagest (HCN Ver.),Galdeira,-,7,11,12,6,11,12,17,1
460,SPEEDCORE,AIR RAID FROM THA UNDAGROUND,GUHROOVY,-,6,9,11,6,9,11,17,1
461,AKASHIC RECORDS,Almagest,Galdeira,-,6,11,12,6,11,12,17,1
462,INDUSTRIAL,Bad Maniacs,kors k as teranoid,-,7,10,12,7,10,12,17,1
463,BUBBLEGUM DANCE,bass 2 bass,Ryu☆,-,4,7,10,5,7,10,17,1
464,E-DANCE POP,beatchic☆仮面～好き、でいさせて～,上野圭市（transforming into Masao♥Lovely) feat.星野奏子,-,5,8,9,5,8,10,17,1
465,DRUM'N'BASS,BEAUTIFUL ANGEL,DJ SWAN,-,4,8,10,5,8,11,17,1
466,ELECTRO POP,being torn the sky,猫叉Master+ feat.JUNE,-,4,7,10,3,7,9,17,1
467,SUBLIME TECHNO,CaptivAte～裁き～(SUBLIME TECHNO MIX),Remixed by DJ YOSHITAKA,-,5,8,10,5,8,11,17,1
468,NEXT SKOOL BREAKBEATS HARDCORE,D,Eagle,-,7,10,11,6,10,11,17,1
469,DRUM & BASS,DAWN -THE NEXT ENDEAVOUR-,L.E.D. fw.堀澤麻衣子,-,7,9,11,7,9,10,17,1
470,EUROBEAT,Dazzlin' Darlin-秋葉工房mix-,Remixed by DJ Command,-,4,8,10,5,8,10,17,1
471,UK HARDCORE,DESIRE,M-Project fw.GUHROOVY,-,5,9,11,5,8,10,17,1
472,HARDCORE,DOMINION,L.E.D.-G ,-,7,10,12,5,10,12,17,1
473,CYBERPUNK,Empire State Glory,Dirty Androids,-,6,9,11,6,10,11,17,1
474,HARDCORE,eRAseRmOToRpHAntOM,L.E.D.-G VS GUHROOVY,-,7,10,12,7,10,12,17,1
475,HARD RENAISSANCE,Evans,DJ YOSHITAKA,-,6,10,12,7,10,12,17,1
476,HARDCORE,EXUSIA,L.E.D.-G,-,6,10,12,8,10,12,17,1
477,EXPERIMENTAL MUSIC,G59,怒れる金の獅子,-,7,10,12,6,11,12,17,1
478,HARDCORE TECHNO,GALGALIM,L.E.D.,-,6,10,11,7,10,11,17,1
479,TECHNO,GOLDEN CROSS,dj REMO-CON VS dj TAKA,-,4,9,12,6,8,12,17,1
480,TECH DANCE,Hydrogen Blueback,MAD CHILD,-,5,8,10,5,8,10,17,1
481,EUROBEAT,IN THE NAME OF LOVE,Y&Co. feat. Erica,-,4,7,9,4,8,10,17,1
482,EUROBEAT,Keep it-秋葉工房mix-,DJ Command feat.NAGISA,-,5,9,10,5,9,11,17,1
483,ELECTRO,Last Burning,Dirty Androids,-,5,7,10,4,7,9,17,1
484,BUBBLEGUM DANCE,Light Shine,Ryu☆,-,5,7,10,5,9,11,17,1
485,BUCHIAGE TRANCE,MIRACLE MEETS,Lucky Vacuum,-,6,9,11,6,9,10,17,1
486,TECHNO POP SPEED,mosaic,Auridy,-,6,10,12,7,8,11,17,1
487,ONLY ONE IDOL SONG,NEW SENSATION -もう、あなたしか見えない-,SUPER HEROINE 彩香 -AYAKA-,-,6,10,11,6,9,11,17,1
488,TECHNO POP,NoN-Fiction Story!,Creative Life,-,4,7,10,4,7,9,17,1
489,PSY TRANCE(MORNING),Programmed Sun,kors k,-,6,9,11,4,9,10,17,1
490,TRANCE,quell～the seventh slave～,dj TAKA Vs. DJ YOSHITAKA,-,4,9,12,7,9,12,17,1
491,TECH-BREAKBEATS,Red. by Full Metal Jacket,DJ Mass MAD Izm*,-,6,10,12,6,9,12,17,1
492,ELECTRIC FUSION,Session 1 -Genesis-,PRASTIK DANCEFLOOR,-,6,9,11,8,9,11,17,1
493,HARDSTYLE,SOLID STATE SQUAD,L.E.D. Vs. kors k,-,5,10,12,5,11,12,17,1
494,J-HOUSE,Special One,kors k feat. Suzuyo Miyamoto,-,5,7,9,5,8,9,17,1
495,DRUM & BASS,THE LAST STRIKER,L.E.D.,-,6,8,11,6,8,10,17,1
496,EPIC TRANCE,The Story Begins,SADA & SOTA,-,4,8,10,6,9,11,17,1
497,INSANIO,かずあそび,CULTVOICE by S.S.D.PRODUCTS,-,3,6,8,4,7,9,17,1
498,J-POP,コスモス,TSU-NA,-,5,8,9,5,8,9,17,1
499,WORLD/ELECTRONICA,サヨナラ・ヘヴン,猫叉Master,-,4,6,8,6,7,8,17,1
500,POPS,たからもの,セリカ&エリカ,-,6,8,9,5,7,10,17,1
501,DISTORTED NEW AGE,バビロニア,劇団レコード,-,4,7,8,4,6,8,17,1
502,VALSE,"ワルツ第17番 ト短調""大犬のワルツ""",virkato,-,6,10,12,6,10,12,17,1
503,STAR POP,未来のプリズム,星野奏子,-,4,7,9,4,8,10,17,1
504,WORLD/ELECTRONICA,水上の提督 (Short mix from ”幻想水滸伝V”),猫叉Master,-,4,8,10,3,9,10,17,1
505,HYPER FANTASIA,Fantasia,TËЯRA,1,3,8,10,4,8,10,18,1
506,WORLD/POPS,おおきなこえで,猫叉Master feat.Sana,1,3,5,7,3,5,7,18,1
507,RESORT HOUSE,WISE UP!,木之下慶行 feat.星野奏子,2,3,7,9,3,6,9,18,1
508,IDM,ZETA～素数の世界と超越者～,Zektbach,2,4,9,11,6,10,12,18,1
509,BUBBLEGUM DANCE,Mermaid girl,Cream puff,3,5,8,10,6,8,10,18,1
510,ENERGETIC HAWAIIAN TRANCE,Kailua (HCN Ver.),kors k,-,5,9,11,4,9,12,18,1
511,TECHNO,Aegis,IT medalion,-,6,8,11,5,8,10,18,1
512,HARD RENAISSANCE,ALBIDA,DJ YOSHITAKA,-,6,10,12,6,9,11,18,1
513,STARPOP,Answer,星野奏子,-,4,7,10,5,7,9,18,1
514,LATIN TEK,ANTHEM LANDING,DJムラサメ,-,5,9,11,6,10,11,18,1
515,HARDCORE,Believe In Me,Uraken feat. Calyn Tsukishima,-,5,9,11,5,9,11,18,1
516,CROSSOVER HOUSE,BLUST OF WIND,Anemo=Aspel by MLREC.,-,5,8,10,5,8,10,18,1
517,DANCEHALL,Bounce Bounce Bounce,kors k feat. Kanata Okajima＆楽天斎,-,5,9,11,5,9,11,18,1
518,HARDCORE,Breaking the ground,Art of Fighters,-,5,8,10,5,8,10,18,1
519,TRANCE,Broken,dj TAKA feat. AiMEE,-,5,9,12,5,9,12,18,1
520,SYMPHONIC-TEK,BROKEN EDEN,MYTHOLOGIA by MLREC.,-,6,9,11,6,10,11,18,1
521,トレンディートランス,Dances with Snow Fairies,Dr.Honda,-,7,10,12,7,10,12,18,1
522,GIRLY ROCK,DAYDREAMER,ピンクターボ,-,6,8,10,6,8,10,18,1
523,ELECTRIC STEP,Destiny Sword,CAPACITY GATE,-,5,9,11,5,9,11,18,1
524,SPEED RAVE,DM STAR ～関西 energy style～,NAOKI,-,6,9,10,6,9,11,18,1
525,GABBA,ELECTRIC MASSIVE DIVER,L.E.D.-G,-,6,10,12,6,9,12,18,1
526,HARDCORE,Energy Drive,kevin energy,-,6,8,11,6,8,11,18,1
527,WINTER BALLADE,Eternal Tears,ツガル,-,2,5,7,2,5,7,18,1
528,ONLY ONE ANTHEM,Everlasting Resort,SUPER STAR 満 -MITSURU-,-,4,7,10,5,7,10,18,1
529,NU DISCO,Golden Palms,Dirty Androids,-,5,8,10,5,9,10,18,1
530,DRUM&BASS,I FIGHT ME,kobo feat.Marsha,-,3,7,9,4,7,10,18,1
531,ENERGETIC HAWAIIAN TRANCE,Kailua,kors k,-,5,9,11,4,9,12,18,1
532,UK HARDCORE,Let The Track Flow,Brisk & Ham,-,6,9,11,5,8,11,18,1
533,MAGICAL POP,Medicine of love,イロハ＆リリナ,-,4,6,9,4,6,9,18,1
534,IIDX HANDZ UP!!,Never Fade Away,Sota Fujimori feat. dj MAX STEROID,-,4,8,11,5,9,11,18,1
535,TRANCE CORE,PARADISE LOST,Ryu☆ Vs. L.E.D.-G,-,7,10,12,7,10,12,18,1
536,HANDZ UP,passionate fate,Ryu☆,-,6,8,10,6,9,11,18,1
537,ANTHEM CORE,perditus†paradisus,iconoclasm,-,7,11,12,7,11,12,18,1
538,PSY TRANCE (FULL ON),Programmed Life,kors k,-,6,9,10,6,9,11,18,1
539,CYBER WALTZ,reunion,Tatsh,-,8,11,12,8,11,12,18,1
540,UK HARDCORE,Rock Da House,M-Project fw.GUHROOVY,-,5,9,11,5,8,10,18,1
541,SHOOTING WALTZ,SABER WING,TAG,-,5,9,11,5,9,12,18,1
542,HAPPY HARDCORE,Sakura Reflection,Ryu☆,-,3,9,11,6,9,11,18,1
543,HAPPY HARDCORE,sakura storm,Ryu☆,-,5,8,12,6,10,12,18,1
544,ROCKIN' DRUM'N'BASS,Session 9 -Chronicles-,PRASTIK DANCEFLOOR,-,5,10,12,5,10,12,18,1
545,ENERGETIC TRANCE,Space Time,NISH,-,4,8,10,4,8,11,18,1
546,BUCHIAGE TRANCE,SPECIAL SUMMER CAMPAIGN!,Lucky Vacuum,-,4,8,12,6,10,12,18,1
547,R&B,Stay my side,DJ Yoshitaka feat.RINA,-,4,6,8,4,6,7,18,1
548,HARD DANCE,STELLAR WIND,L.E.D.,-,4,9,11,5,9,11,18,1
549,GOA TRANCE,THE BLACK KNIGHT,L.E.D.,-,5,10,11,6,10,12,18,1
550,TRANCE,THE DOOR INTO RAINBOW,L.E.D.,-,4,8,10,4,9,11,18,1
551,GOTH NU-STYLE GABBA,THE FALLEN,L.E.D.-G,-,5,8,11,5,9,11,18,1
552,VACATION DANCE,Tropical April,Risk Junk,-,8,10,11,6,9,11,18,1
553,PSYCHE FUSION,Vermillion,Mystic Moon,-,5,7,10,5,8,10,18,1
554,TECH-BREAKBEATS,Watch Out Pt.2,DJ Mass MAD Izm* VS. DJ Yoshitaka,-,6,9,12,6,9,11,18,1
555,SURF&DUB,WE LOVE SHONAN,Studio Bongo Mango feat. Likkle Mai,-,4,9,10,4,8,11,18,1
556,CANDY RAVE,Wuv U,kors k,-,3,8,10,7,9,11,18,1
557,DANCE POP,XANADU OF TWO,T.Kakuta With Starving Trancer + 森永真由美,-,5,8,10,5,8,10,18,1
558,NATSU MATSURI,かげぬい ～ Ver.BENIBOTAN ～,CULTVOICE by S.S.D.PRODUCTS,-,5,7,9,5,7,10,18,1
559,J-HAPPY HARDCORE,ヒマワリ,小坂りゆ,-,3,9,10,4,8,9,18,1
560,HAPPY HARDCORE,中華急行,Ryu☆,-,2,8,10,5,8,10,18,1
561,ELECLORE,旅人リラン,XOGO BRYKK,-,6,9,11,6,10,12,18,1
562,BROKEN SAMBA BREAK,灼熱Beach Side Bunny,DJ Mass MAD Izm*,-,7,10,12,6,10,12,18,1
563,撫子メタル,黒髪乱れし修羅となりて,村正クオリア,-,4,9,12,5,10,12,18,1
564,DRUM'N'BASS,Far east nightbird,猫叉Master,2,3,7,9,4,8,10,19,1
565,HAPPY HARDCORE,I'm so Happy,Ryu☆,2,3,8,11,5,9,11,19,1
566,ELECTRIC POMP,Snow Goose,Mutsuhiko Izumi,2,3,8,11,4,9,11,19,1
567,EURO RAVE,24th Century BOY,Tatsh,-,5,9,11,5,9,11,19,1
568,HARDCORE,532nm,Ryu☆,-,3,7,11,4,7,11,19,1
569,TECHNO,Almace,Qrispy Joybox,-,4,8,10,4,8,11,19,1
570,DANCE POP,ANAGRAMS I to Y,Mayumi Morinaga,-,4,7,9,4,8,9,19,1
571,TECH-BREAKBEATS,BLACK.by X-Cross Fade,DJ Mass MAD Izm*,-,6,10,12,6,10,12,19,1
572,WORLD/ELECTRONICA,CALL,猫叉Master,-,2,5,8,2,8,8,19,1
573,DANCE SPEED,Castle on the Moon,青龍,-,4,9,11,4,9,11,19,1
574,SPEED POP,Change the World,Tatsh feat.小田ユウ,-,5,7,9,6,9,10,19,1
